Designator,Mid X,Mid Y,Rotation,Layer
C1,144.78,-110.744,270.0,bottom
C2,146.812,-110.744,270.0,bottom
D1,127.508,-101.092,90.0,top
D10,119.38,-102.616,90.0,top
D11,119.38,-105.918,90.0,top
D12,120.65,-108.966,90.0,top
D13,122.428,-110.744,90.0,top
D14,124.46,-109.22,90.0,top
D15,126.238,-107.442,90.0,top
D16,127.762,-104.394,90.0,top
D17,129.286,-104.14,90.0,top
D18,130.81,-103.378,90.0,top
D19,132.334,-102.362,90.0,top
D2,127.0,-98.044,90.0,top
D20,133.858,-101.6,90.0,top
D21,135.382,-100.838,90.0,top
D22,136.906,-99.822,90.0,top
D23,138.684,-99.06,90.0,top
D24,140.462,-98.044,90.0,top
D25,142.24,-97.282,90.0,top
D26,144.018,-97.282,90.0,top
D27,145.542,-98.806,90.0,top
D28,144.018,-101.092,90.0,top
D29,142.494,-102.87,90.0,top
D3,126.238,-94.996,90.0,top
D30,140.97,-104.648,90.0,top
D31,139.446,-106.68,90.0,top
D32,137.922,-108.458,90.0,top
D33,136.398,-110.236,90.0,top
D34,134.874,-111.506,90.0,top
D35,133.096,-113.03,90.0,top
D36,131.572,-114.3,90.0,top
D37,130.048,-115.062,90.0,top
D38,128.524,-114.808,90.0,top
D39,126.746,-114.554,90.0,top
D4,125.476,-91.948,90.0,top
D40,126.238,-111.506,90.0,top
D41,127.762,-110.49,90.0,top
D42,128.016,-107.442,90.0,top
D5,123.952,-90.17,90.0,top
D6,122.428,-91.186,90.0,top
D7,120.904,-92.964,90.0,top
D8,120.396,-96.266,90.0,top
D9,119.634,-99.314,90.0,top
J1,152.4,-111.506,270.0,bottom
R1,133.096,-104.14,90.0,bottom
R2,134.874,-104.14,90.0,bottom
R3,138.43,-104.14,90.0,bottom
R4,140.208,-104.14,90.0,bottom
R5,141.986,-104.14,90.0,bottom
R6,143.764,-104.14,90.0,bottom
R7,136.652,-104.14,90.0,bottom
SW1,165.057,-111.193,0.0,bottom
U1,137.4825,-110.621,270.0,bottom
